Income,Marital,Age,Housing,Class
high,married,old,own,yes
high,married,young,own,yes
high,married,old,rent,yes
middle,married,young,own,yes
high,married,old,rent,yes
high,married,young,rent,yes
middle,married,old,rent,yes
high,single,young,own,no
high,single,old,own,yes
high,single,young,rent,no
low,married,old,own,yes
low,single,old,rent,yes
low,married,old,own,yes
low,single,young,own,no
middle,married,young,own,no
low,single,young,rent,no
low,married,young,rent,no
low,single,young,rent,no
